name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Maisonetta restaurant,https://www.opentable.com/r/maisonetta-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,10 Reviews,4.3,4.7,4.3,4.3,4.3,Moderate,50,Bronx,"French, Mexican",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, High Tea, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",French,1,1,1,1
Mama Sushi - Bronx restaurant,https://www.opentable.com/r/mama-sushi-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,15 Reviews,4.6,4.5,4.6,4.7,4.2,Moderate,100,Bronx,"Sushi, Asian, Fusion / Eclectic",Casual Dining,Casual Dress,,"Banquet, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Sushi,1,1,1,1
Suyo Gastrofusion restaurant,https://www.opentable.com/r/suyo-gastrofusion-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,197 Reviews,4.7,4.7,4.7,4.7,4.6,Moderate,100,Bronx,"Fusion / Eclectic, Latin American, Asian",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cafe, Cocktails, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Fusion / Eclectic,,,,
The Waterfront NYC restaurant,https://www.opentable.com/r/the-waterfront-nyc-bronx-new-york?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,168 Reviews,4.4,4.3,4.3,4.6,4.2,Moderate,77,Bronx,Contemporary American,Casual Elegant,Smart Casual,Jeremie Tomczak,"Banquet, Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Contemporary American,1,1,1,1
VISTAMAR restaurant,https://www.opentable.com/r/vistamar-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,197 Reviews,4.0,4.2,4.0,4.2,4.0,Moderate,85,Bronx,"Latin American, Seafood",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Latin American,1,1,1,1
Enzo's of Williamsbridge restaurant,https://www.opentable.com/r/enzos-of-williamsbridge-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,42 Reviews,4.8,4.8,4.8,4.6,4.8,Moderate,100,Bronx,Italian,Casual Dining,Business Casual,,"Beer, Cocktails, Full Bar, Gluten-free Menu, Private Room, Wine",Italian,1,1,1,1
Da' Franco & Tony's Ristorante restaurant,https://www.opentable.com/r/da-franco-and-tonys-ristorante-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,110 Reviews,4.8,4.8,4.9,4.7,4.6,Quiet,100,Bronx,Italian,Casual Elegant,Smart Casual,,,Italian,,,,
Roberto's Restaurant restaurant,https://www.opentable.com/robertos-restaurant-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,820 Reviews,4.7,4.8,4.8,4.5,4.4,Moderate,90,Bronx,"Italian, Contemporary Italian",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Non-Smoking, Private Room, Wheelchair Access, Wine",Italian,1,1,1,1
Mario's Restaurant - Arthur Ave. restaurant,https://www.opentable.com/marios-restaurant-arthur-ave?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,762 Reviews,4.6,4.6,4.7,4.3,4.4,Moderate,100,Bronx,Italian,Casual Elegant,Casual Dress,Massimo Celso,"Banquet, Beer, Cocktails, Corkage Fee, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1
Audi Club Yankee Stadium restaurant,https://www.opentable.com/audi-club-yankee-stadium?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$50 and over,611 Reviews,4.5,4.4,4.5,4.6,3.8,Moderate,67,Bronx,American,Casual Dining,Smart Casual,Matt Gibson,"Bar/Lounge, Beer, Full Bar, Non-Smoking, Wine",American,,,,
