name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Trattoria Bianca restaurant,https://www.opentable.com/trattoria-bianca?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,843 Reviews,4.1,4.0,4.0,3.8,3.9,Quiet,83,Midtown West,"Italian, Mediterranean",Casual Elegant,Business Casual,Julian Clauss-Ehlers,"Bar Dining, Bar/Lounge, Beer, Full Bar, Late Night, Non-Smoking, Wheelchair Access, Wine",Italian,,,,
"Novitá - New York City, Manhattan restaurant",https://www.opentable.com/r/novita-new-york-city-manhattan-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,2180 Reviews,4.8,4.8,4.7,4.7,4.5,Moderate,96,Gramercy / Flatiron,Italian,Casual Elegant,Smart Casual,Marco Fregonese,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Takeout, Wine",Italian,1,1,1,1
Bodrum Turkish Mediterranean restaurant,https://www.opentable.com/r/bodrum-turkish-mediterranean-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,1047 Reviews,4.6,4.7,4.5,4.3,4.6,Moderate,100,Upper West Side,"Turkish, Mediterranean, Comfort Food",Casual Elegant,Casual Dress,,"BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Turkish,1,1,1,1
Nizza - NYC restaurant,https://www.opentable.com/r/nizza-nyc-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,3202 Reviews,4.6,4.5,4.6,4.4,4.4,Moderate,100,Midtown West,"Italian, Mediterranean",Casual Dining,Casual Dress,Andy D'Amico,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wine",Italian,,,,
Madison & Vine restaurant,https://www.opentable.com/r/madison-and-vine-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,1142 Reviews,4.3,4.2,4.2,4.3,4.1,Moderate,89,Midtown East,"American, Wine Bar",Casual Elegant,Business Casual,Victor Valadares,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1
Cacio e Vino restaurant,https://www.opentable.com/r/cacio-e-vino-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,818 Reviews,4.3,4.2,4.1,4.2,4.2,Moderate,89,East Village,"Italian, Sicilian, Pizzeria",Casual Dining,Smart Casual,Giusto Priola,"Bar Dining, Beer, BYO Wine, Chef's Table, Corkage Fee, Counter Seating, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Weekend Brunch, Wine",Italian,1,1,1,1
NAYA Mezze & Grill restaurant,https://www.opentable.com/r/naya-mezze-and-grill-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,1563 Reviews,4.6,4.6,4.5,4.4,4.5,Moderate,100,Midtown East,"Lebanese, Mediterranean, Middle Eastern",Casual Elegant,Casual Dress,Hady Kfoury,"Banquet, Beer, Chef's Table, Delivery, Non-Smoking, Private Room, Weekend Brunch, Wheelchair Access, Wine",Lebanese,,,,
Salumeria Rosi restaurant,https://www.opentable.com/salumeria-rosi?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,1212 Reviews,4.8,4.8,4.7,4.5,4.4,Moderate,100,Upper West Side,Italian,Casual Elegant,Casual Dress,,"Beer, BYO Wine, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,,,,
Havana NY restaurant,https://www.opentable.com/havana-new-york?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,1133 Reviews,4.3,4.4,4.2,4.3,4.0,Moderate,73,Midtown West,"Cuban, Latin / Spanish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,,,,
2 Darbar Grill restaurant,https://www.opentable.com/2-darbar-grill?corrid=53d1744c-9569-453e-8ef8-d7c4af935525&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,355 Reviews,4.2,4.2,4.2,3.9,4.2,Quiet,92,Midtown East,Indian,Casual Elegant,Casual Dress,Simon Gomes,"Bar Dining, Bar/Lounge, Beer, Fireplace, Full Bar, Non-Smoking, Private Room, Weekend Brunch, Wine",Indian,,,,
