name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Montebello Ristorante Italiano restaurant,https://www.opentable.com/r/montebello-ristorante-italiano-new-york?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,705 Reviews,4.8,4.7,4.9,4.5,4.4,Moderate,100,Midtown East,Italian,Fine Dining,Smart Casual,,"Banquet, Bar Dining, Full Bar, Non-Smoking, Private Room, Wheelchair Access, Wine",Italian,,,,
Essex restaurant,https://www.opentable.com/r/essex-new-york?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,2790 Reviews,4.3,4.1,4.3,4.3,4.1,Moderate,79,Lower East Side,"Fusion / Eclectic, Latin American, Contemporary American",Casual Dining,Casual Dress,John Lewis,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Fusion / Eclectic,1,1,1,1
Bobby Van's Steakhouse - 54th Street restaurant,https://www.opentable.com/r/bobby-vans-steakhouse-54th-street-new-york?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,1082 Reviews,4.7,4.7,4.7,4.5,4.3,Moderate,93,Midtown East,"Steakhouse, American, Seafood",Casual Elegant,Business Casual,Noe Garcia,"Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Steakhouse,1,1,1,1
Ben and Jack's Steakhouse 44th Street restaurant,https://www.opentable.com/ben-and-jacks-steakhouse-44th-street?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$50 and over,1100 Reviews,4.6,4.7,4.7,4.4,4.4,Moderate,100,Midtown East,"Steakhouse, Seafood, American",Fine Dining,Business Casual,,"Banquet, Bar Dining, Beer, Cocktails, Corkage Fee, Full Bar, Kosher, Non-Smoking, Outdoor dining, Private Room, Wheelchair Access, Wine",Steakhouse,,,,
Papatzul restaurant,https://www.opentable.com/papatzul?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,295 Reviews,4.3,4.5,3.7,4.1,4.2,Moderate,100,SoHo,"Mexican / Southwestern, Traditional Mexican, Regional Mexican",Casual Elegant,Smart Casual,Thierry Amezcua,"Bar Dining, Bar/Lounge, Delivery, Full Bar, Happy Hour, Late Night, Takeout, Weekend Brunch",Mexican / Southwestern,,,,
Osteria Laguna restaurant,https://www.opentable.com/osteria-laguna?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,1545 Reviews,4.7,4.6,4.7,4.5,4.3,Moderate,95,Midtown East,Italian,Fine Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Italian,,,,
Giorgio's of Gramercy restaurant,https://www.opentable.com/giorgios-of-gramercy?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,2521 Reviews,4.7,4.7,4.6,4.5,4.4,Moderate,97,Gramercy / Flatiron,Contemporary American,Casual Elegant,Business Casual,Sam Abdel,"Bar/Lounge, Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Wine",Contemporary American,,,,
Benjamin Steakhouse restaurant,https://www.opentable.com/benjamin-steakhouse?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$50 and over,3619 Reviews,4.8,4.8,4.8,4.6,4.3,Moderate,100,Midtown East,"Steakhouse, American, Seafood",Fine Dining,Smart Casual,Arturo McLeod,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Fireplace, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steakhouse,1,1,1,1
Bobby Van's Steakhouse - Broad Street restaurant,https://www.opentable.com/r/bobby-vans-steakhouse-broad-street-new-york?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,1,$31 to $50,1096 Reviews,4.6,4.5,4.6,4.4,4.1,Moderate,91,Financial District,"Steakhouse, American, Seafood",Casual Elegant,Business Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Steakhouse,1,1,1,1
Russian Tea Room - NYC restaurant,https://www.opentable.com/r/russian-tea-room-nyc-new-york?corrid=76a08f74-d4b4-4fed-80f2-b566013080b6&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$50 and over,3430 Reviews,4.5,4.4,4.5,4.7,4.1,Quiet,85,Midtown West,"Continental, Russian, Contemporary American",Fine Dining,Business Casual,Marc Taxiera,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, High Tea, Non-Smoking, Private Room, Weekend Brunch, Wheelchair Access, Wine",Continental,1,1,1,1
