name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day
SEAPORT HOUSE,https://www.opentable.com/r/seaport-house-new-york,1,True,1,7,4.1,4.3,3.9,4.0,3.6,Moderate,100.0,Financial District,"Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Seafood,1,1,0,0,True,2,True,3/10/2021,137.0,0.051094890510948905
Empire Burger House,https://www.opentable.com/r/empire-burger-house-new-york,1,False,1,6,4.4,4.1,4.4,4.3,4.4,Moderate,100.0,Midtown East,"Burgers, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Counter Seating, Delivery, Non-Smoking, Takeout, Wheelchair Access, Wine",Burgers,1,1,1,1,True,4,True,3/1/2021,146.0,0.0410958904109589
El Paso Mexican Restaurants East Harlem,https://www.opentable.com/r/el-paso-mexican-restaurants-east-harlem-new-york,1,False,2,6,4.1,4.3,3.9,3.9,4.1,Moderate,,East Harlem,Contemporary Mexican,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Mexican,1,1,1,1,True,4,True,2/14/2021,161.0,0.037267080745341616
Mila's Fish & Hook,https://www.opentable.com/r/milas-fish-and-hook-new-york,1,False,1,0,,,,,,,,Lower East Side,Italian,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,0,0,0,0,True,0,False,5/16/2021,70.0,0.0
Quality Bistro,https://www.opentable.com/r/quality-bistro-new-york,1,True,2,419,4.7,4.7,4.7,4.8,4.2,Moderate,92.0,Midtown West,"American, Steakhouse, French",Casual Elegant,Business Casual,Craig Koketsu,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Fireplace, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, View, Wheelchair Access, Wine",American,0,0,0,0,False,0,False,1/29/2020,543.0,0.7716390423572744
Lena West Village,https://www.opentable.com/r/lena-west-village-new-york,1,False,2,15,4.9,4.8,4.9,4.8,4.8,Quiet,100.0,West Village,"French, Basque, Wine Bar",Casual Dining,Casual Dress,David Thual,"Beer, Delivery, Happy Hour, Outdoor dining, Weekend Brunch, Wine",French,1,1,1,1,True,4,True,3/2/2021,145.0,0.10344827586206896
Hachi Maki,https://www.opentable.com/r/hachi-maki-new-york,1,False,1,9,3.8,3.6,4.0,4.0,3.6,Quiet,100.0,Upper West Side,"Japanese, Ramen, Sushi",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,True,4,True,3/13/2021,134.0,0.06716417910447761
Tudor City Steakhouse,https://www.opentable.com/r/tudor-city-steakhouse-new-york,1,False,1,12,4.3,4.2,4.3,4.5,3.8,Quiet,83.0,Midtown East,"Steakhouse, Seafood, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, View, Wheelchair Access, Wine",Steakhouse,1,1,1,1,False,4,True,3/26/2021,121.0,0.09917355371900827
Tito Murphy's,https://www.opentable.com/r/tito-murphys-new-york,1,True,1,229,4.3,4.3,4.2,4.4,4.1,Moderate,91.0,Theater District / Times Square,"Mexican, Latin / Spanish, South American",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Beer Garden, Cafe, Cocktails, Corkage Fee, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,1,1,1,False,4,True,1/25/2020,547.0,0.4186471663619744
Pasta By Hudson,https://www.opentable.com/r/pasta-by-hudson-new-york,1,False,2,0,,,,,,,,Chelsea,Italian,Casual Dining,Business Casual,,"Beer, Cafe, Counter Seating, Delivery, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Italian,1,0,1,1,True,3,True,4/25/2021,91.0,0.0
