name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Newly added Ruta Oaxaca Mexican Cuisine restaurant,https://www.opentable.com/r/ruta-oaxaca-mexican-cuisine-queens?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,49 Reviews,4.7,4.7,4.6,4.5,4.5,Moderate,100,Astoria,Mexican,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mexican,,,,
Newly added THE BEAST NEXT DOOR restaurant,https://www.opentable.com/r/the-beast-next-door-long-island-city?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,No Reviews,,,,,,,,Long Island City,"Cocktail Bar, Contemporary French",Casual Dining,Business Casual,,,Cocktail Bar,,,,
Newly added Neir's Tavern restaurant,https://www.opentable.com/r/neirs-tavern-woodhaven?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,5 Reviews,4.9,4.7,4.9,4.9,4.9,Moderate,100,Woodhaven,"American, Pub, Burgers",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",American,1,1,1,1
Newly added The Chefs Table  116 restaurant,https://www.opentable.com/r/the-chefs-table-116-rockaway-park?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$50 and over,19 Reviews,4.3,4.3,4.4,4.2,4.2,Moderate,80,Rockaway Park,"American, Meat, Seafood",Casual Dining,Business Casual,Chef Rienhard,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1
Newly added Il Falco Restaurant restaurant,https://www.opentable.com/il-falco-restaurant?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,410 Reviews,4.8,4.8,4.6,4.4,4.5,Moderate,100,Long Island City,Italian,Casual Elegant,Casual Dress,Bolivar Perez ,"Bar/Lounge, Beer, Cocktails, Delivery, Fireplace, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Italian,1,1,1,1
Newly added Eternity-the flavor library restaurant,https://www.opentable.com/r/eternity-the-flavor-library-kew-gardens?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,No Reviews,,,,,,,,Kew Gardens,Indian,Casual Dining,Business Casual,,,Indian,,,,
Newly added Dylan's Forest Hills restaurant,https://www.opentable.com/r/dylans-forest-hills?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,No Reviews,,,,,,,,Forest Hills,"Southern, Comfort Food",Casual Dining,Casual Dress,Chef Mario Savas,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Southern,1,1,1,1
Newly added Gula restaurant,https://www.opentable.com/r/gula-new-york?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,No Reviews,,,,,,,,Forest Hills,"American, Southern, Latin / Spanish",Casual Dining,Business Casual,,"Counter Seating, Delivery, Gender Neutral Restroom, Non-Smoking, Patio/Outdoor Dining, Takeout, Weekend Brunch",American,,,,
Agora Taverna - Forest Hills restaurant,https://www.opentable.com/agora-taverna-forest-hills?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,200 Reviews,4.5,4.5,4.6,4.2,4.3,Moderate,75,Forest Hills,"Greek, Seafood",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wine",Greek,,,,
The Cuban - Bayside restaurant,https://www.opentable.com/r/the-cuban-bayside?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,105 Reviews,4.4,4.4,4.2,4.4,4.3,Moderate,88,Bayside,Cuban,Casual Dining,Casual Dress,Chef Jesus,"Bar/Lounge, Beer, Cocktails, Dancing, Delivery, Entertainment, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,1,1,1,1
Bar Marseille restaurant,https://www.opentable.com/r/bar-marseille-arverne?corrid=d727a2d7-91b4-4b8a-9ae6-d3727915cade&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,95 Reviews,4.4,4.4,4.5,4.2,4.0,Moderate,79,Rockaway Park,"French, Wine Bar, Mediterranean",Casual Dining,Casual Dress,Nicholas Morales,"Banquet, Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",French,1,1,1,1
