name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
Sally's Southern restaurant,https://www.opentable.com/r/sallys-southern-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,No Reviews,,,,,,Quiet,,Staten Island,"Southern, American",Casual Dining,Casual Dress,Peter Botros,"Bar/Lounge, Beer, Beer Garden, Cafe, Chef's Table, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Weekend Brunch, Wheelchair Access, Wine",Southern,1,1,1,1
Sakana Sushi & Hibachi Steakhouse restaurant,https://www.opentable.com/r/sakana-sushi-and-hibachi-steakhouse-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,16 Reviews,4.8,4.8,4.8,4.8,4.7,Moderate,100,Staten Island,"Sushi, Hibachi, Asian",Casual Dining,Casual Dress,,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Takeout, Wheelchair Access, Wine",Sushi,0,0,1,1
Pastavino restaurant,https://www.opentable.com/r/pastavino-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,56 Reviews,4.8,4.8,4.8,4.8,4.6,Moderate,100,Staten Island,"Italian, Wine Bar, Contemporary Italian",Elegant Dining,Smart Casual,Josh Laurano,"Banquet, Bar/Lounge, Beer, Cocktails, Full Bar, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, View, Wheelchair Access, Wine",Italian,1,1,1,1
Grand Sahara Mediterranean Grill restaurant,https://www.opentable.com/r/grand-sahara-mediterranean-grill-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,3 Reviews,4.6,4.7,4.5,4.4,4.5,Moderate,100,Staten Island,Mediterranean,Casual Dining,Casual Dress,No Corkage Fee,"BYO Liquor, BYO Wine, Cafe, Delivery, Late Night, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access",Mediterranean,1,1,1,1
The Richmond restaurant,https://www.opentable.com/r/the-richmond-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$50 and over,186 Reviews,4.8,4.8,4.7,4.8,4.5,Moderate,100,Staten Island,"Contemporary American, American, French American",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Fireplace, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary American,1,0,0,1
Sofia's Taqueria restaurant,https://www.opentable.com/r/sofias-taqueria-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,195 Reviews,4.8,4.8,4.8,4.7,4.7,Moderate,100,Staten Island,Mexican,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Outdoor dining, Private Room, Takeout, Weekend Brunch",Mexican,,,,
Taverna on the Bay restaurant,https://www.opentable.com/r/taverna-on-the-bay-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,205 Reviews,4.7,4.6,4.6,4.6,4.4,Moderate,92,Staten Island,"Seafood, Mediterranean, Sports Bar",Casual Dining,Business Casual,ridi zeneli,"Bar/Lounge, Beer, Cafe, Cocktails, Full Bar, Gluten-free Menu, Outdoor dining, Outdoor Smoking Area, Private Room, Wheelchair Access, Wine",Seafood,,,,
Richmond Republic restaurant,https://www.opentable.com/r/richmond-republic-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,157 Reviews,4.4,4.6,4.2,4.5,4.3,Moderate,89,Staten Island,"American, Gastro Pub",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Entertainment, Full Bar, Happy Hour, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1
Corner House BBQ restaurant,https://www.opentable.com/r/corner-house-bbq-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,123 Reviews,4.7,4.7,4.8,4.4,4.6,Moderate,100,Staten Island,"Barbecue, American",Casual Dining,Casual Dress,,,Barbecue,,,,
Violette's Cellar restaurant,https://www.opentable.com/r/violettes-cellar-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,397 Reviews,4.8,4.7,4.8,4.8,4.5,Moderate,100,Staten Island,American,Casual Dining,Casual Dress,,"Banquet, Beer, Chef's Table, Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Private Room, Takeout, Wine",American,,,,
Lilya's Restaurant & Grill-Cafe Gourmand restaurant,https://www.opentable.com/r/lilyas-restaurant-and-grill-cafe-gourmand-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$31 to $50,2 Reviews,5.0,5.0,5.0,5.0,4.7,Energetic,100,Staten Island,"International, Mediterranean, Eastern European",Casual Elegant,Smart Casual,Mikayel Aslanyan,"Banquet, Cafe, Dancing, Delivery, Entertainment, Gender Neutral Restroom, Gluten-free Menu, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access",International,,,,
Bayou restaurant,https://www.opentable.com/r/bayou-staten-island?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,5 Reviews,4.5,4.7,4.6,4.4,4.4,Quiet,100,Staten Island,"Cajun, French, Italian",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Wheelchair Access, Wine",Cajun,,,,
Incas Grill Peruvian Kitchen restaurant,https://www.opentable.com/r/incas-grill-peruvian-cuisine-staten-island-2?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,105 Reviews,4.5,4.6,4.5,4.4,4.4,Moderate,93,Staten Island,"Peruvian, Seafood, Latin American",Casual Dining,Formal Attire,Cesar franco,"Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Takeout, Wheelchair Access, Wine",Peruvian,,,,
Bocelli Ristorante restaurant,https://www.opentable.com/bocelli-ristorante?corrid=8be4e2de-07c7-4a78-b62a-03c7837a25e2&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjoxLCJuIjowfQ&p=1&sd=2021-07-20T20%3A00%3A00,1,0,$30 and under,395 Reviews,4.7,4.8,4.8,4.7,4.5,Moderate,97,Staten Island,Italian,Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Delivery, Full Bar, Private Room, Takeout, Wheelchair Access",Italian,,,,
